"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"58",213,1737,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,386,0
"59",214,851,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,189,0
"60",215,369,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,82,0
"61",216,118,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,26,0
"62",217,54,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,12,0
"63",218,33,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,7,0
"64",219,14,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,3,0
"65",220,336,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,75,0
"66",221,20,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,4,0
"67",222,2,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,0,0
"68",223,4,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,1,0
"69",225,1,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,0,0
"70",226,3,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,1,0
"71",301,1170,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,260,0
"72",302,356560,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,79297,6.6
"73",303,810718,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,180299,15.1
"74",304,199850,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,44446,3.7
"75",305,41874,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,9313,0.8
"76",306,11517,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,2561,0.2
"77",307,10480,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,2331,0.2
"78",308,92527,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,20578,1.7
"79",309,5,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,1,0
"80",310,3,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,1,0
