"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"417","Optional 1","11590_10_19",0.0821816,"Rocky Mountain Montane Riparian Systems",19,0.364706,2440,0.2,200.523104
"418","Optional 1","11590_20",0.0725138,"Rocky Mountain Montane Riparian Systems",16,0.364706,3249,0.3,235.5973362
"419","Optional 1","11590_21",0.0087142,"Rocky Mountain Montane Riparian Systems",75,0.364706,38,0,0.3311396
"420","Optional 1","11600_10_19",0.0480758,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",21,0.654902,2216,0.2,106.5359728
"421","Optional 1","11600_10_19",0.0480758,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",47,0.654902,405,0,19.470699
"422","Optional 1","11600_20_29",0.0680618,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",79,0.654902,48,0,3.2669664
"423","Optional 1","11600_21",0.0332848,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",8,0.654902,26037,2.2,866.6363376
"424","Optional 1","11620_20",0.0067126,"Western Great Plains Floodplain Systems",6,0.803922,49521,4.1,332.4146646
"425","Optional 1","11620_22",0.0230456,"Western Great Plains Floodplain Systems",86,0.803922,185,0,4.263436
"426","Optional 1","11620_29_30",0.0067392,"Western Great Plains Floodplain Systems",13,0.803922,7622,0.6,51.3661824
"427","Optional 1","13850_20",0.1004236,"Western Great Plains Wooded Draw and Ravine",25,0,1966,0.2,197.4327976
"428","Optional 1","13850_29_30",0.1000826,"Western Great Plains Wooded Draw and Ravine",91,0,456,0,45.6376656
"429","Optional 2","10850_20",0.0119212,"Northwestern Great Plains Shrubland",3,0.517647,210977,17.7,2515.0990124
"430","Optional 2","11260_1_7_8_9_10_19",0.0283278,"Inter-Mountain Basins Montane Sagebrush Steppe",46,0.662745,246,0,6.9686388
"431","Optional 2","11260_1_7_8_9_10_19",0.0283278,"Inter-Mountain Basins Montane Sagebrush Steppe",60,0.662745,222,0,6.2887716
"432","Optional 2","11410_20",0.007627,"Northwestern Great Plains Mixedgrass Prairie",1,0.909804,381834,32,2912.247918
"433","Optional 2","11410_29_30",0.026835,"Northwestern Great Plains Mixedgrass Prairie",9,0.909804,21546,1.8,578.18691
"434","Optional 2","11540_10_19",0.0119124,"Inter-Mountain Basins Montane Riparian Systems",64,0.458824,1,0,0.0119124
"435","Optional 2","11590_20",0.043876,"Rocky Mountain Montane Riparian Systems",16,0.364706,3249,0.3,142.553124
"436","Optional 2","11590_21",0.0869984,"Rocky Mountain Montane Riparian Systems",75,0.364706,38,0,3.3059392
"437","Optional 2","11600_10_19",0.0095476,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",21,0.654902,2216,0.2,21.1574816
"438","Optional 2","11600_10_19",0.0095476,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",47,0.654902,405,0,3.866778
"439","Optional 2","11600_20_29",0.0101056,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",79,0.654902,48,0,0.4850688
"440","Optional 2","11600_21",0.0100434,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",8,0.654902,26037,2.2,261.5000058
"441","Optional 2","11620_20",0.0014126,"Western Great Plains Floodplain Systems",6,0.803922,49521,4.1,69.9533646
"442","Optional 2","11620_22",0.005294,"Western Great Plains Floodplain Systems",86,0.803922,185,0,0.97939
"443","Optional 2","11620_29_30",0.001284,"Western Great Plains Floodplain Systems",13,0.803922,7622,0.6,9.786648
