"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"302","Wind or Weather or Stress","11410_29_30",0.0322496,"Northwestern Great Plains Mixedgrass Prairie",28,0.909804,47,0,1.5157312
"303","Wind or Weather or Stress","11410_31",0.0120792,"Northwestern Great Plains Mixedgrass Prairie",13,0.909804,1723,0.5,20.8124616
"304","Wind or Weather or Stress","11410_39",0.0121214,"Northwestern Great Plains Mixedgrass Prairie",3,0.909804,62479,17.1,757.3329506
"305","Wind or Weather or Stress","11480_31_38",0.0097246,"Western Great Plains Sand Prairie",1,0.662745,86814,23.8,844.2314244
"306","Wind or Weather or Stress","11490_31_33",0.0243966,"Western Great Plains Shortgrass Prairie",19,0.4,183,0.1,4.4645778
"307","Wind or Weather or Stress","11490_31_33",0.0243966,"Western Great Plains Shortgrass Prairie",25,0.4,417,0.1,10.1733822
"308","Wind or Weather or Stress","11500_31_39_40",0.0247198,"Western Great Plains Tallgrass Prairie",18,0.588235,663,0.2,16.3892274
"309","Wind or Weather or Stress","11500_31_39_40",0.0247198,"Western Great Plains Tallgrass Prairie",22,0.588235,248,0.1,6.1305104
"310","Wind or Weather or Stress","11620_27_33",0.1311562,"Western Great Plains Floodplain Systems",20,0.803922,196,0.1,25.7066152
"311","Wind or Weather or Stress","11620_29_30",0.0381712,"Western Great Plains Floodplain Systems",29,0.803922,2,0,0.0763424
"312","Wind or Weather or Stress","11620_31_39_40",0.0483292,"Western Great Plains Floodplain Systems",8,0.803922,11162,3.1,539.4505304
"313","Wind or Weather or Stress","11620_31_39_40",0.0483292,"Western Great Plains Floodplain Systems",12,0.803922,3047,0.8,147.2590724
"314","Wind or Weather or Stress","13100_39",0.0005318,"North-Central Interior Dry-Mesic Oak Forest and Woodland",23,0.870588,265,0.1,0.140927
"315","Wind or Weather or Stress","13110_39",0.001718,"North-Central Interior Dry Oak Forest and Woodland",31,0.560784,167,0,0.286906
"316","Wind or Weather or Stress","13140_38_39_40_41_42_43_44_50",0.1402798,"North-Central Interior Maple-Basswood Forest",32,0.4,85,0,11.923783
"317","Wind or Weather or Stress","13310_39_40_41",0.0106572,"Eastern Great Plains Tallgrass Aspen Parkland",33,0,2,0,0.0213144
"318","Wind or Weather or Stress","13940_39_40_41",0.001029,"North-Central Interior Oak Savanna",16,0.541176,815,0.2,0.838635
"319","Wind or Weather or Stress","14120_39_40_41_42_43_50_51",0.0064688,"North-Central Interior Sand and Gravel Tallgrass Prairie",35,0.615686,177,0,1.1449776
"320","Wind or Weather or Stress","14210_31_38_42_43_44_50_51",0.024255,"Central Tallgrass Prairie",5,0.768627,24842,6.8,602.54271
"321","Wind or Weather or Stress","14690_31_39_40_43",0.0536428,"Eastern Great Plains Floodplain Systems",7,0.745098,12541,3.4,672.7343548
"322","Wind or Weather or Stress","14820_39_40",0.0197786,"Great Plains Prairie Pothole",10,0.639216,7877,2.2,155.7960322
"323","Wind or Weather or Stress","14950_31_39_40",0.0988416,"Western Great Plains Depressional Wetland Systems",6,0.611765,13197,3.6,1304.4125952
"324","Wind or Weather or Stress","14950_31_39_40",0.0988416,"Western Great Plains Depressional Wetland Systems",9,0.611765,10444,2.9,1032.3016704
