"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"59",224,10,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,2,0
"60",225,1,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,0,0
"61",226,4,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,1,0
"62",227,1,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,0,0
"63",228,3,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,1,0
"64",230,5,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,1,0
"65",301,306,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,68,0
"66",302,199917,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,44460,12.2
"67",303,586047,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,130334,35.7
"68",304,353990,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,78725,21.6
"69",305,51715,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,11501,3.2
"70",306,28911,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,6430,1.8
"71",307,32224,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,7166,2
"72",308,17345,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,3857,1.1
"73",309,1365,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,304,0.1
"74",310,5,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,1,0
