"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"62",155,116,76625086,"Tree Cover = 55%",67,154,60,0.262745098,0.603921569,0.235294118,26,0
"63",156,86,37637619,"Tree Cover = 56%",64,149,58,0.250980392,0.584313725,0.22745098,19,0
"64",157,76,37393772,"Tree Cover = 57%",62,144,56,0.243137255,0.564705882,0.219607843,17,0
"65",158,95,41979971,"Tree Cover = 58%",60,139,55,0.235294118,0.545098039,0.215686275,21,0
"66",159,62,41088624,"Tree Cover = 59%",58,134,53,0.22745098,0.525490196,0.207843137,14,0
"67",160,243,42475974,"Tree Cover = 60%",56,129,51,0.219607843,0.505882353,0.2,54,0
"68",161,36,40083071,"Tree Cover = 61%",51,126,51,0.2,0.494117647,0.2,8,0
"69",162,25,61145608,"Tree Cover = 62%",54,124,52,0.211764706,0.48627451,0.203921569,6,0
"70",163,30,65035368,"Tree Cover = 63%",38,122,53,0.149019608,0.478431373,0.207843137,7,0
"71",164,312,58918146,"Tree Cover = 64%",31,121,54,0.121568627,0.474509804,0.211764706,69,0
"72",165,10,92045945,"Tree Cover = 65%",25,119,55,0.098039216,0.466666667,0.215686275,2,0
"73",215,72,13238742,"Shrub Cover = 15%",235,222,192,0.921568627,0.870588235,0.752941176,16,0
"74",217,1,27673741,"Shrub Cover = 17%",233,220,188,0.91372549,0.862745098,0.737254902,0,0
"75",218,2,30909703,"Shrub Cover = 18%",232,219,185,0.909803922,0.858823529,0.725490196,0,0
"76",220,5,66027637,"Shrub Cover = 20%",231,216,181,0.905882353,0.847058824,0.709803922,1,0
"77",221,10,34841727,"Shrub Cover = 21%",230,215,178,0.901960784,0.843137255,0.698039216,2,0
"78",222,14,98190021,"Shrub Cover = 22%",229,214,176,0.898039216,0.839215686,0.690196078,3,0
"79",223,7,84378400,"Shrub Cover = 23%",228,213,174,0.894117647,0.835294118,0.682352941,2,0
"80",224,22,44062559,"Shrub Cover = 24%",227,212,172,0.890196078,0.831372549,0.674509804,5,0
"81",225,342,94208465,"Shrub Cover = 25%",227,210,169,0.890196078,0.823529412,0.662745098,76,0
"82",226,21,109086572,"Shrub Cover = 26%",226,209,167,0.88627451,0.819607843,0.654901961,5,0
"83",227,36,62293577,"Shrub Cover = 27%",225,208,165,0.882352941,0.815686275,0.647058824,8,0
"84",228,51,144047060,"Shrub Cover = 28%",224,207,163,0.878431373,0.811764706,0.639215686,11,0
"85",229,57,114590931,"Shrub Cover = 29%",223,206,161,0.874509804,0.807843137,0.631372549,13,0
"86",230,36,63231995,"Shrub Cover = 30%",223,205,158,0.874509804,0.803921569,0.619607843,8,0
"87",231,57,96799671,"Shrub Cover = 31%",222,204,156,0.870588235,0.8,0.611764706,13,0
"88",232,55,77548748,"Shrub Cover = 32%",221,203,154,0.866666667,0.796078431,0.603921569,12,0
"89",234,70,63752727,"Shrub Cover = 34%",219,201,149,0.858823529,0.788235294,0.584313725,16,0
"90",235,205,54191785,"Shrub Cover = 35%",218,200,147,0.854901961,0.784313725,0.576470588,46,0
"91",236,105,55379015,"Shrub Cover = 36%",215,196,144,0.843137255,0.768627451,0.564705882,23,0
"92",237,1,13904469,"Shrub Cover = 37%",208,190,140,0.815686275,0.745098039,0.549019608,0,0
"93",238,95,25132650,"Shrub Cover = 38%",202,184,135,0.792156863,0.721568627,0.529411765,21,0
"94",239,82,20502197,"Shrub Cover = 39%",196,178,131,0.768627451,0.698039216,0.51372549,18,0
"95",240,3,19922659,"Shrub Cover = 40%",189,173,127,0.741176471,0.678431373,0.498039216,1,0
"96",241,42,10269941,"Shrub Cover = 41%",183,167,123,0.717647059,0.654901961,0.482352941,9,0
"97",242,28,25426252,"Shrub Cover = 42%",177,161,118,0.694117647,0.631372549,0.462745098,6,0
"98",243,9,5273551,"Shrub Cover = 43%",170,155,114,0.666666667,0.607843137,0.447058824,2,0
"99",244,2,16732792,"Shrub Cover = 44%",164,149,110,0.643137255,0.584313725,0.431372549,0,0
"100",245,18,7695545,"Shrub Cover = 45%",160,143,107,0.62745098,0.560784314,0.419607843,4,0
"101",246,4,14507437,"Shrub Cover = 46%",156,137,103,0.611764706,0.537254902,0.403921569,1,0
"102",248,3,2461786,"Shrub Cover = 48%",148,125,96,0.580392157,0.490196078,0.376470588,1,0
"103",249,1,5474490,"Shrub Cover = 49%",143,120,93,0.560784314,0.470588235,0.364705882,0,0
"104",250,2,3063665,"Shrub Cover = 50%",139,114,90,0.545098039,0.447058824,0.352941176,0,0
"105",255,1,4164670,"Shrub Cover = 55%",120,88,68,0.470588235,0.345098039,0.266666667,0,0
"106",258,1,1932115,"Shrub Cover = 58%",108,74,53,0.423529412,0.290196078,0.207843137,0,0
"107",310,318,4929207,"Herb Cover = 10%",204,230,225,0.8,0.901960784,0.882352941,71,0
"108",311,135,1097137,"Herb Cover = 11%",201,228,223,0.788235294,0.894117647,0.874509804,30,0
"109",312,155,1425769,"Herb Cover = 12%",197,227,221,0.77254902,0.890196078,0.866666667,34,0
"110",313,202,1605474,"Herb Cover = 13%",194,225,219,0.760784314,0.882352941,0.858823529,45,0
"111",314,236,2092395,"Herb Cover = 14%",190,223,218,0.745098039,0.874509804,0.854901961,52,0
"112",315,111,1615771,"Herb Cover = 15%",187,222,215,0.733333333,0.870588235,0.843137255,25,0
"113",316,247,2501834,"Herb Cover = 16%",183,220,213,0.717647059,0.862745098,0.835294118,55,0
"114",317,260,2603161,"Herb Cover = 17%",180,218,211,0.705882353,0.854901961,0.82745098,58,0
"115",318,278,3108854,"Herb Cover = 18%",176,217,209,0.690196078,0.850980392,0.819607843,62,0
"116",319,274,3292426,"Herb Cover = 19%",173,215,207,0.678431373,0.843137255,0.811764706,61,0
"117",320,354,4374475,"Herb Cover = 20%",170,213,205,0.666666667,0.835294118,0.803921569,79,0
"118",321,56,2491584,"Herb Cover = 21%",166,211,203,0.650980392,0.82745098,0.796078431,12,0
"119",322,373,5390728,"Herb Cover = 22%",163,210,204,0.639215686,0.823529412,0.8,83,0
"120",323,367,5885321,"Herb Cover = 23%",159,208,199,0.623529412,0.815686275,0.780392157,82,0
"121",324,443,6222515,"Herb Cover = 24%",156,206,197,0.611764706,0.807843137,0.77254902,99,0
"122",325,1068,19672273,"Herb Cover = 25%",152,205,195,0.596078431,0.803921569,0.764705882,238,0.1
"123",326,591,9794595,"Herb Cover = 26%",149,203,193,0.584313725,0.796078431,0.756862745,131,0
"124",327,23,4107617,"Herb Cover = 27%",146,201,191,0.57254902,0.788235294,0.749019608,5,0
"125",328,711,11995319,"Herb Cover = 28%",142,200,189,0.556862745,0.784313725,0.741176471,158,0
"126",329,988,16696258,"Herb Cover = 29%",139,198,187,0.545098039,0.776470588,0.733333333,220,0.1
"127",330,1334,21420511,"Herb Cover = 30%",135,196,185,0.529411765,0.768627451,0.725490196,297,0.1
"128",331,2152,26519145,"Herb Cover = 31%",132,195,183,0.517647059,0.764705882,0.717647059,479,0.1
"129",332,3549,28320132,"Herb Cover = 32%",128,193,181,0.501960784,0.756862745,0.709803922,789,0.2
"130",333,123,4464835,"Herb Cover = 33%",125,191,178,0.490196078,0.749019608,0.698039216,27,0
"131",334,5020,25757946,"Herb Cover = 34%",121,190,176,0.474509804,0.745098039,0.690196078,1116,0.3
"132",335,8288,50643114,"Herb Cover = 35%",118,188,174,0.462745098,0.737254902,0.682352941,1843,0.5
"133",336,9206,30326719,"Herb Cover = 36%",115,186,172,0.450980392,0.729411765,0.674509804,2047,0.6
