"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"234","Optional Types","14950_31_39_40",0.0988502,"Western Great Plains Depressional Wetland Systems",3,0.611765,42357,7.9,4186.9979214
"235","Optional Types","14950_31_39_40",0.0988502,"Western Great Plains Depressional Wetland Systems",11,0.611765,7496,1.4,740.9810992
"236","Replacement Fire","10130_31_38_39_40",0.0033938,"Western Great Plains Dry Bur Oak Forest and Woodland",29,0,80,0,0.271504
"237","Replacement Fire","10130_31_38_39_40",0.0033938,"Western Great Plains Dry Bur Oak Forest and Woodland",35,0,113,0,0.3834994
"238","Replacement Fire","10850_29_30",0.065863,"Northwestern Great Plains Shrubland",27,0.517647,1,0,0.065863
"239","Replacement Fire","11410_29_30",0.0739452,"Northwestern Great Plains Mixedgrass Prairie",9,0.909804,9768,1.8,722.2967136
"240","Replacement Fire","11410_39",0.124771,"Northwestern Great Plains Mixedgrass Prairie",5,0.909804,19355,3.6,2414.942705
"241","Replacement Fire","11410_40",0.1278934,"Northwestern Great Plains Mixedgrass Prairie",1,0.909804,202682,37.8,25921.6900988
"242","Replacement Fire","11480_20_29_30",0.0466178,"Western Great Plains Sand Prairie",28,0.662745,9,0,0.4195602
"243","Replacement Fire","11500_31_39_40",0.1947052,"Western Great Plains Tallgrass Prairie",10,0.588235,8723,1.6,1698.4134596
"244","Replacement Fire","11500_31_39_40",0.1947052,"Western Great Plains Tallgrass Prairie",36,0.588235,222,0,43.2245544
"245","Replacement Fire","11620_29_30",0.0088276,"Western Great Plains Floodplain Systems",14,0.803922,3260,0.6,28.777976
"246","Replacement Fire","11620_31_39_40",0.0041602,"Western Great Plains Floodplain Systems",6,0.803922,12373,2.3,51.4741546
"247","Replacement Fire","11620_31_39_40",0.0041602,"Western Great Plains Floodplain Systems",22,0.803922,276,0.1,1.1482152
"248","Replacement Fire","13010_40",0.0120636,"Boreal Aspen-Birch Forest",30,0.219608,21,0,0.2533356
"249","Replacement Fire","13100_39",0.008829,"North-Central Interior Dry-Mesic Oak Forest and Woodland",37,0.870588,72,0,0.635688
"250","Replacement Fire","13110_39",0.0130732,"North-Central Interior Dry Oak Forest and Woodland",38,0.560784,6,0,0.0784392
"251","Replacement Fire","13140_38_39_40_41_42_43_44_50",0.0009898,"North-Central Interior Maple-Basswood Forest",31,0.4,64,0,0.0633472
"252","Replacement Fire","13310_39_40_41",0.0622862,"Eastern Great Plains Tallgrass Aspen Parkland",17,0,1273,0.2,79.2903326
"253","Replacement Fire","13850_29_30",0.0138884,"Western Great Plains Wooded Draw and Ravine",19,0,589,0.1,8.1802676
"254","Replacement Fire","13850_31_39_40_42",0.0110806,"Western Great Plains Wooded Draw and Ravine",7,0,11242,2.1,124.5681052
"255","Replacement Fire","13850_31_39_40_42",0.0110806,"Western Great Plains Wooded Draw and Ravine",23,0,552,0.1,6.1164912
"256","Replacement Fire","13940_39_40_41",0.0019558,"North-Central Interior Oak Savanna",21,0.541176,505,0.1,0.987679
"257","Replacement Fire","13940_39_40_41",0.0019558,"North-Central Interior Oak Savanna",39,0.541176,141,0,0.2757678
"258","Replacement Fire","14120_39_40_41_42_43_50_51",0.2812866,"North-Central Interior Sand and Gravel Tallgrass Prairie",24,0.615686,644,0.1,181.1485704
"259","Replacement Fire","14120_39_40_41_42_43_50_51",0.2812866,"North-Central Interior Sand and Gravel Tallgrass Prairie",32,0.615686,196,0,55.1321736
"260","Replacement Fire","14200_39_40_42",0.1749512,"Northern Tallgrass Prairie",4,0.113725,21679,4,3792.7670648
"261","Replacement Fire","14200_39_40_42",0.1749512,"Northern Tallgrass Prairie",8,0.113725,10704,2,1872.6776448
"262","Replacement Fire","14690_31_39_40_43",0.0019612,"Eastern Great Plains Floodplain Systems",15,0.745098,3038,0.6,5.9581256
"263","Replacement Fire","14690_31_39_40_43",0.0019612,"Eastern Great Plains Floodplain Systems",33,0.745098,165,0,0.323598
"264","Replacement Fire","14770_40_41_50_51",0.0014102,"Boreal Acidic Peatland Systems",34,0.541176,84,0,0.1184568
"265","Replacement Fire","14820_30",0.0199046,"Great Plains Prairie Pothole",12,0.639216,4693,0.9,93.4122878
"266","Replacement Fire","14820_39_40",0.0197828,"Great Plains Prairie Pothole",13,0.639216,3973,0.7,78.5970644
"267","Replacement Fire","14820_39_40",0.0197828,"Great Plains Prairie Pothole",16,0.639216,1408,0.3,27.8541824
"268","Replacement Fire","14950_30",0.0203984,"Western Great Plains Depressional Wetland Systems",20,0.611765,370,0.1,7.547408
"269","Replacement Fire","14950_31_39_40",0.0494932,"Western Great Plains Depressional Wetland Systems",3,0.611765,42357,7.9,2096.3834724
"270","Replacement Fire","14950_31_39_40",0.0494932,"Western Great Plains Depressional Wetland Systems",11,0.611765,7496,1.4,371.0010272
"271","Surface Fire","10130_31_38_39_40",0.0335256,"Western Great Plains Dry Bur Oak Forest and Woodland",29,0,80,0,2.682048
"272","Surface Fire","10130_31_38_39_40",0.0335256,"Western Great Plains Dry Bur Oak Forest and Woodland",35,0,113,0,3.7883928
"273","Surface Fire","11500_31_39_40",0.0040696,"Western Great Plains Tallgrass Prairie",10,0.588235,8723,1.6,35.4991208
"274","Surface Fire","11500_31_39_40",0.0040696,"Western Great Plains Tallgrass Prairie",36,0.588235,222,0,0.9034512
"275","Surface Fire","11620_29_30",0.0039046,"Western Great Plains Floodplain Systems",14,0.803922,3260,0.6,12.728996
"276","Surface Fire","11620_31_39_40",0.0050648,"Western Great Plains Floodplain Systems",6,0.803922,12373,2.3,62.6667704
"277","Surface Fire","11620_31_39_40",0.0050648,"Western Great Plains Floodplain Systems",22,0.803922,276,0.1,1.3978848
"278","Surface Fire","13100_39",0.0214078,"North-Central Interior Dry-Mesic Oak Forest and Woodland",37,0.870588,72,0,1.5413616
"279","Surface Fire","13110_39",0.0535982,"North-Central Interior Dry Oak Forest and Woodland",38,0.560784,6,0,0.3215892
"280","Surface Fire","13140_38_39_40_41_42_43_44_50",0.0011924,"North-Central Interior Maple-Basswood Forest",31,0.4,64,0,0.0763136
"281","Surface Fire","13310_39_40_41",0.116715,"Eastern Great Plains Tallgrass Aspen Parkland",17,0,1273,0.2,148.578195
"282","Surface Fire","13850_29_30",0.0126238,"Western Great Plains Wooded Draw and Ravine",19,0,589,0.1,7.4354182
"283","Surface Fire","13850_31_39_40_42",0.004321,"Western Great Plains Wooded Draw and Ravine",7,0,11242,2.1,48.576682
"284","Surface Fire","13850_31_39_40_42",0.004321,"Western Great Plains Wooded Draw and Ravine",23,0,552,0.1,2.385192
"285","Surface Fire","13940_39_40_41",0.1992284,"North-Central Interior Oak Savanna",21,0.541176,505,0.1,100.610342
"286","Surface Fire","13940_39_40_41",0.1992284,"North-Central Interior Oak Savanna",39,0.541176,141,0,28.0912044
"287","Surface Fire","14120_39_40_41_42_43_50_51",0.011561,"North-Central Interior Sand and Gravel Tallgrass Prairie",24,0.615686,644,0.1,7.445284
"288","Surface Fire","14120_39_40_41_42_43_50_51",0.011561,"North-Central Interior Sand and Gravel Tallgrass Prairie",32,0.615686,196,0,2.265956
"289","Surface Fire","14690_31_39_40_43",0.0056576,"Eastern Great Plains Floodplain Systems",15,0.745098,3038,0.6,17.1877888
"290","Surface Fire","14690_31_39_40_43",0.0056576,"Eastern Great Plains Floodplain Systems",33,0.745098,165,0,0.933504
"291","Surface Fire","14770_40_41_50_51",0.0082316,"Boreal Acidic Peatland Systems",34,0.541176,84,0,0.6914544
"292","Wind or Weather or Stress","10130_31_38_39_40",0.006737,"Western Great Plains Dry Bur Oak Forest and Woodland",29,0,80,0,0.53896
"293","Wind or Weather or Stress","10130_31_38_39_40",0.006737,"Western Great Plains Dry Bur Oak Forest and Woodland",35,0,113,0,0.761281
"294","Wind or Weather or Stress","10850_29_30",0.0495388,"Northwestern Great Plains Shrubland",27,0.517647,1,0,0.0495388
"295","Wind or Weather or Stress","11410_29_30",0.0322496,"Northwestern Great Plains Mixedgrass Prairie",9,0.909804,9768,1.8,315.0140928
"296","Wind or Weather or Stress","11410_39",0.0121214,"Northwestern Great Plains Mixedgrass Prairie",5,0.909804,19355,3.6,234.609697
"297","Wind or Weather or Stress","11410_40",0.012394,"Northwestern Great Plains Mixedgrass Prairie",1,0.909804,202682,37.8,2512.040708
"298","Wind or Weather or Stress","11500_31_39_40",0.0247198,"Western Great Plains Tallgrass Prairie",10,0.588235,8723,1.6,215.6308154
"299","Wind or Weather or Stress","11500_31_39_40",0.0247198,"Western Great Plains Tallgrass Prairie",36,0.588235,222,0,5.4877956
"300","Wind or Weather or Stress","11620_29_30",0.0381712,"Western Great Plains Floodplain Systems",14,0.803922,3260,0.6,124.438112
"301","Wind or Weather or Stress","11620_31_39_40",0.0483292,"Western Great Plains Floodplain Systems",6,0.803922,12373,2.3,597.9771916
"302","Wind or Weather or Stress","11620_31_39_40",0.0483292,"Western Great Plains Floodplain Systems",22,0.803922,276,0.1,13.3388592
"303","Wind or Weather or Stress","13100_39",0.0005318,"North-Central Interior Dry-Mesic Oak Forest and Woodland",37,0.870588,72,0,0.0382896
"304","Wind or Weather or Stress","13110_39",0.001718,"North-Central Interior Dry Oak Forest and Woodland",38,0.560784,6,0,0.010308
"305","Wind or Weather or Stress","13140_38_39_40_41_42_43_44_50",0.1402798,"North-Central Interior Maple-Basswood Forest",31,0.4,64,0,8.9779072
"306","Wind or Weather or Stress","13310_39_40_41",0.0106572,"Eastern Great Plains Tallgrass Aspen Parkland",17,0,1273,0.2,13.5666156
"307","Wind or Weather or Stress","13940_39_40_41",0.001029,"North-Central Interior Oak Savanna",21,0.541176,505,0.1,0.519645
"308","Wind or Weather or Stress","13940_39_40_41",0.001029,"North-Central Interior Oak Savanna",39,0.541176,141,0,0.145089
"309","Wind or Weather or Stress","14120_39_40_41_42_43_50_51",0.0064688,"North-Central Interior Sand and Gravel Tallgrass Prairie",24,0.615686,644,0.1,4.1659072
"310","Wind or Weather or Stress","14120_39_40_41_42_43_50_51",0.0064688,"North-Central Interior Sand and Gravel Tallgrass Prairie",32,0.615686,196,0,1.2678848
"311","Wind or Weather or Stress","14690_31_39_40_43",0.0536428,"Eastern Great Plains Floodplain Systems",15,0.745098,3038,0.6,162.9668264
"312","Wind or Weather or Stress","14690_31_39_40_43",0.0536428,"Eastern Great Plains Floodplain Systems",33,0.745098,165,0,8.851062
"313","Wind or Weather or Stress","14770_40_41_50_51",0.002846,"Boreal Acidic Peatland Systems",34,0.541176,84,0,0.239064
"314","Wind or Weather or Stress","14820_39_40",0.0197786,"Great Plains Prairie Pothole",13,0.639216,3973,0.7,78.5803778
"315","Wind or Weather or Stress","14820_39_40",0.0197786,"Great Plains Prairie Pothole",16,0.639216,1408,0.3,27.8482688
"316","Wind or Weather or Stress","14950_31_39_40",0.0988416,"Western Great Plains Depressional Wetland Systems",3,0.611765,42357,7.9,4186.6336512
"317","Wind or Weather or Stress","14950_31_39_40",0.0988416,"Western Great Plains Depressional Wetland Systems",11,0.611765,7496,1.4,740.9166336
