"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"28",1285,40,11480,30,"11480_20_29_30","Western Great Plains Sand Prairie","Grassland",22,-9999,-9999,22,100,-9999,-9999,"II-C",245,218,169,0.960784,0.854902,0.662745,9,0
"29",1642,360,10130,40,"10130_31_38_39_40","Western Great Plains Dry Bur Oak Forest and Woodland","Hardwood",300,44,30,17,6,38,56,"I-C",220,0,0,0.862745,0,0,80,0
"30",1646,95,13010,40,"13010_40","Boreal Aspen-Birch Forest","Conifer",82,-9999,-9999,82,100,-9999,-9999,"IV-A",255,245,56,1,0.960784,0.219608,21,0
"31",1648,286,13140,40,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,64,0
"32",1653,882,14120,40,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,196,0
"33",1655,740,14690,40,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,165,0
"34",1656,377,14770,40,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,84,0
"35",1659,508,10130,39,"10130_31_38_39_40","Western Great Plains Dry Bur Oak Forest and Woodland","Hardwood",300,44,30,17,6,38,56,"I-C",220,0,0,0.862745,0,0,113,0
"36",1661,999,11500,39,"11500_31_39_40","Western Great Plains Tallgrass Prairie","Grassland",5,-9999,254,5,98,-9999,2,"II-A",245,245,150,0.960784,0.960784,0.588235,222,0
"37",1663,325,13100,39,"13100_39","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",112,43,47,19,17,43,40,"I-C",176,163,222,0.690196,0.639216,0.870588,72,0
"38",1664,29,13110,39,"13110_39","North-Central Interior Dry Oak Forest and Woodland","Hardwood",77,85,19,13,17,15,68,"I-B",179,207,143,0.701961,0.811765,0.560784,6,0
"39",1668,632,13940,39,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,141,0
