"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"59",221,12,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,3,0
"60",222,16,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,4,0
"61",223,4,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,1,0
"62",224,3,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,1,0
"63",226,1,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,0,0
"64",227,2,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,0,0
"65",230,2,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,0,0
"66",301,271,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,60,0
"67",302,12868,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,2862,0.5
"68",303,549784,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,122269,22.8
"69",304,591383,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,131520,24.5
"70",305,113248,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,25186,4.7
"71",306,62758,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,13957,2.6
"72",307,79233,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,17621,3.3
"73",308,45294,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,10073,1.9
"74",309,15757,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,3504,0.7
"75",310,11543,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,2567,0.5
